From,To,Distance
DOM,YAR,11892
DOM,YEM,11892
DOM,YPR,12112
DOM,KUW,11515
DOM,BAH,11967
DOM,QAT,11991
DOM,UAE,12355
DOM,OMA,12755
DOM,AFG,12737
DOM,TKM,11793
DOM,TAJ,12391
DOM,KYR,12356
DOM,UZB,12171
DOM,KZK,12386
DOM,CHN,13568
DOM,TBT,14282
DOM,MON,12707
DOM,TAW,15006
DOM,KOR,13576
DOM,PRK,13404
DOM,ROK,13576
DOM,JPN,13269
DOM,IND,13749
DOM,BHU,14487
DOM,PAK,13053
DOM,BNG,14920
DOM,MYA,15872
DOM,SRI,15713
DOM,NEP,14282
DOM,MAD,15288
DOM,THI,16342
DOM,CAM,16668
DOM,LAO,15966
DOM,VNM,16730
DOM,DRV,15590
DOM,RVN,16729
DOM,MAL,17444
DOM,SIN,17730
DOM,BRU,17396
DOM,PHI,16188
DOM,INS,18575
DOM,ETM,17991
DOM,AUL,15740
DOM,PNG,15848
DOM,NEW,13427
DOM,VAN,13972
DOM,SOL,14593
DOM,FJI,12822
DOM,MSI,12950
DOM,PAL,16058
DOM,FSM,14009
DOM,WSM,13354
JAM,USA,2315
JAM,CAN,3039
JAM,BHM,700
JAM,CUB,810
JAM,HAI,480
JAM,DOM,723
JAM,TRI,1856
JAM,BAR,1927
JAM,DMA,1731
JAM,GRN,1753
JAM,SLU,1738
JAM,SVG,1753
JAM,AAB,1596
JAM,SKN,1493
JAM,BLZ,1202
JAM,MEX,2354
JAM,GUA,1503
JAM,HON,1199
JAM,SAL,1396
JAM,NIC,1207
JAM,COS,1189
JAM,PAN,1041
JAM,COL,1510
JAM,VEN,1379
JAM,GUY,2373
JAM,SUR,2710
JAM,ECU,2005
JAM,PER,3336
JAM,BRA,4870
JAM,BOL,3905
JAM,PAR,5221
JAM,CHL,5711
JAM,ARG,6099
JAM,URU,6187
JAM,UK,7555
JAM,IRE,7116
JAM,NTH,7871
JAM,BEL,7855
JAM,LUX,7989
JAM,FRN,7729
JAM,MNC,8177
JAM,LIE,8277
JAM,SWZ,8130
JAM,SPN,7314
JAM,AND,7721
JAM,POR,6849
JAM,GMY,8456
JAM,GFR,8056
JAM,GDR,8456
JAM,POL,8964
JAM,AUH,8755
JAM,AUS,8755
JAM,HUN,8988
JAM,CZE,8572
JAM,CZR,8572
JAM,SLO,8814
JAM,ITA,8659
JAM,SNM,8571
JAM,MLT,8966
JAM,ALB,9236
JAM,SER,9185
JAM,MNG,9146
JAM,MAC,9336
JAM,CRO,8812
JAM,YUG,9185
JAM,BOS,9065
JAM,SLV,8674
JAM,GRC,9659
JAM,CYP,10583
JAM,BUL,9476
JAM,MLD,9677
JAM,RUM,9613
JAM,RUS,9825
JAM,EST,8930
JAM,LAT,9009
JAM,LIT,9165
JAM,UKR,9651
JAM,BLR,9338
JAM,ARM,11154
JAM,GRG,11174
JAM,AZE,11518
JAM,FIN,8904
JAM,SWD,8565
JAM,NOR,8151
